"平成28年度公共事業の用地取得に係る業務委託の随意契約結果","","","",""
"平成28年4月1日から平成28年12月8日までの分"

"契約機関","委託業務名","委託業務の内容","委託先","委託料の額（円）","契約日","随意契約の理由"
"海草振興局建設部海南工事事務所","不動産鑑定業務","日方川河川整備工事に係る意見書","株式会社　　　　　　　　井崎不動産鑑定事務所","単価契約","42640.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"有田振興局建設部","不動産鑑定業務","熊井川高速道路関連河川改修工事に係る意見書","清水不動産鑑定士事務所","単価契約","42640.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","和歌川堤防改修に係る不動産鑑定業務","株式会社明和不動産鑑定所","単価契約","42643.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"有田振興局建設部","不動産鑑定業務","県道海南吉備線交通安全施設等整備工事に係る不動産鑑定業務","小川不動産鑑定事務所","単価契約","42643.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"伊都振興局建設部","不動産鑑定業務","那賀かつらぎ線道路改良工事に係る不動産鑑定業務","株式会社　
明和不動産鑑定所","単価契約","42650.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"伊都振興局建設部","不動産鑑定業務","国道４８０号交通安全施設等整備工事に係る不動産鑑定業務","株式会社　
明和不動産鑑定所","単価契約","42656.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"那賀振興局建設部","不動産鑑定業務","根来川河川整備工事に係る意見書","南海鑑定センター株式会社","単価契約","42660.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"那賀振興局建設部","不動産鑑定業務","根来川河川整備工事に係る意見書","南海鑑定センター株式会社","単価契約","42660.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"那賀振興局建設部","不動産鑑定業務","根来川河川整備工事に係る意見書","南海鑑定センター株式会社","単価契約","42660.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"東牟婁振興局串本建設部","不動産鑑定業務","すさみ古座線道路改良工事に係る意見書","有限会社
アトラス鑑定","単価契約","42662.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","引尾下津線小規模道路改良工事に係る不動産鑑定業務に係る不動産鑑定業務","有限会社　　　　　　　　アトラス鑑定","単価契約","42667.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","和歌山橋本線道路改良工事に係る不動産鑑定業務","株式会社
明和不動産鑑定所","単価契約","42673.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","紀伊停車場田井ノ瀬線道路改良に係る不動産鑑定業務","株式会社
明和不動産鑑定所","単価契約","42674.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","三田海南線道路改良に係る不動産鑑定業務","くろしお鑑定","単価契約","42681.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","紀伊停車場田井ノ瀬線道路改良に係る意見書","株式会社
明和不動産鑑定所","単価契約","42695.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","西脇山口線道路改良工事に係る意見書","有限会社アトラス鑑定","単価契約","42698.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","和歌山橋本線道路改良工事に係る不動産鑑定業務","淸水不動産鑑定士事務所","単価契約","42712.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
