"平成28年度公共事業の用地取得に係る業務委託の随意契約結果","","","",""
"平成28年4月1日から平成28年12月8日までの分"

"契約機関","委託業務名","委託業務の内容","委託先","委託料の額（円）","契約日","随意契約の理由"
"東牟婁振興局串本建設部","不動産鑑定業務","国道３７１号道路改良工事に係る意見書","清水不動産鑑定士事務所","単価契約","42485.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","和歌山橋本線道路改良工事に係る意見書","株式会社
明和不動産鑑定所","単価契約","42486.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"東牟婁振興局串本建設部","不動産鑑定業務","城すさみ線小規模道路改良工事に係る意見書","有限会社
アトラス鑑定","単価契約","42488.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","日方大野中藤白線道路改良工事に係る不動産鑑定業務に係る不動産鑑定業務","株式会社　　　　　　　　明和不動産鑑定所","単価契約","42496.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","日方大野中藤白線道路改良工事に係る意見書","株式会社　　　　　　　　明和不動産鑑定所","単価契約","42496.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","国道３７０号（美里）道路改良事業に係る不動産鑑定業務","株式会社　　　　　　　　阪和不動産鑑定所","単価契約","42500.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","国道３７０号（美里）道路改良事業に係る不動産鑑定業務","株式会社　　　　　　　　阪和不動産鑑定所","単価契約","42500.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"有田振興局建設部","不動産鑑定業務","県道海南金屋線地方特定道路整備工事に係る不動産鑑定業務","株式会社
阪和不動産鑑定所","単価契約","42501.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"東牟婁振興局串本建設部","不動産鑑定業務","国道３７１号道路改良工事に係る不動産鑑定業務","有限会社
紀州不動産鑑定事務所","単価契約","42501.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"東牟婁振興局串本建設部","不動産鑑定業務","国道３７１号道路改良工事に係る不動産鑑定業務","有限会社
紀州不動産鑑定事務所","単価契約","42501.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"那賀振興局建設部","不動産鑑定業務","紀の川サイクリングロード整備事業に係る意見書","株式会社阪和不動産鑑定所","単価契約","42503.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"有田振興局建設部","不動産鑑定業務","県道生石公園線道路改良工事に係る不動産鑑定業務","有限会社
衣奈不動産鑑定所","単価契約","42506.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
